obs,spp_names,record_num,data_source,source_page,phylum,class,order,family,genus,species,habitat,source,life hist,geo_location,lat,long,acclim_type,acclim_period,trait_category,trait,details,temp_1,temp_2,r1.1,r1.1_se,r1.1_N,r1.1_CV,r1.1_logCV,r1.2,r1.2_se,r1.2_N,r1.2_CV,r1.2_logCV,r2.1,r2.1_se,r2.1_N,r2.1_CV,r2.1_logCV,r2.2,r2.2_se,r2.2_N,r2.2_CV,r2.2_logCV,Type,treat,ES,V_ES,units,notes
731,Xenopus_laevis,p188_o,NA,NA,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,f,c,j,"St Andrews, Scotland",15,25,1,28,sprint,swim,sprint,12,30,0.22,0.01,12,0.16,-1.85,0.38,0.02,12,0.14,-1.98,0.16,0.01,12,0.22,-1.53,0.52,0.06,12,0.4,-0.92,CV,ac,0.081446375,0.057609377,m/s,NA
732,Xenopus_laevis,p188_o,NA,NA,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,f,c,a,"St Andrews, Scotland",15,25,1,42,sprint,swim,sprint,10,25,0.98,0.04,10,0.13,-2.05,1.27,0.05,10,0.12,-2.08,0.6,0.02,10,0.11,-2.25,1.32,0.04,10,0.1,-2.35,CV,ac,-0.024050704,0.100194755,m/s,distribution is natural dist; animals came from breeding colony
733,Gambusia_holbrooki,p189_o,NA,NA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,f,w,a,"Stradbroke Is, Queensland",27.5,153.45,1,42,sprint,swim,sprint,18,30,0.69,0.07,10,0.32,-1.14,0.7,0.05,13,0.26,-1.36,0.64,0.04,13,0.23,-1.49,0.71,0.07,13,0.36,-1.03,CV,ac,-0.183065702,0.145721139,NA,NA
734,Gambusia_holbrooki,p189_o,NA,NA,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,holbrooki,f,w,a,"Stradbroke Is, Queensland",27.5,153.45,1,42,endurance,swim,sustained,18,30,0.28,0.02,13,0.26,-1.36,0.32,0.03,13,0.34,-1.08,0.18,0.03,13,0.5,-0.69,0.33,0.03,13,0.33,-1.12,CV,ac,0.22661143,0.12538734,m/s,NA
738,Cyprinus_carpio,p190_o,NA,NA,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,f,c,a,Kiel,54.325,10.142556,1,30,metabolic_enzyme,CCO,red muscle,10,30,1412,115,5,0.18,-1.7,3003,267,5,0.2,-1.62,1096,60,5,0.12,-2.1,2230,142,5,0.14,-1.95,CV,ac,0.04385594,0.128634608,nmol/mg protein/min,NA
739,Malacochersus_tornieri,p191_o,NA,NA,Chordata,Reptilia,Testudines,Testudinidae,Malacochersus,tornieri,t,w,a,Kenya,-1.266667,36.8,1,30,rest_MR,MR,rest,20,35,29.3,2,4,0.14,-1.99,44.9,1.4,4,0.06,-2.77,14.5,0.8,4,0.11,-2.2,46.3,2.1,4,0.09,-2.4,CV,ac,-0.522350148,0.298799212,ml/kg/h,NA
740,Polypedates_megacephalus,p192_o,NA,NA,Chordata,Amphibia,Anura,Rhacophoridae,Polypedates,megacephalus,t,w,j,"Changhua, Taiwan",24.1,120.55,1,10,rest_MR,MR,rest,22,32,0.95,0.05,10,0.17,-1.79,2.3,0.2,10,0.27,-1.29,0.6,0.1,10,0.53,-0.64,2.1,0.1,10,0.15,-1.89,CV,ac,0.502091944,0.232553742,NA,NA
741,Silurus_meridionalis,p193_o,NA,NA,Chordata,Actinopterygii,Siluriformes,Siluridae,Silurus,meridionalis,f,c,j,"Chongqing, China",29.55,106.55,1,14,rest_MR,MR,rest,12.5,27.5,24.86,3.02,8,0.34,-1.07,84.1,3.96,8,0.13,-2.02,22.89,2.91,8,0.36,-1.02,75.13,3.08,8,0.12,-2.15,CV,ac,-0.631839525,0.134528406,NA,NA
744,Zoarces_viviparous,p194_o,NA,NA,Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,viviparous,m,w,a,"Kieler Bight, Germany",54.5,10.4,1,28,rest_MR,MR,rest,3,12,0.6,0.12,7,0.53,-0.64,1.17,0.18,7,0.41,-0.9,0.45,0.24,7,1.41,0.34,1.08,0.48,7,1.18,0.16,CV,ac,-0.291515849,0.490125892,NA,NA
745,Zoarces_viviparous,p194_o,NA,NA,Chordata,Actinopterygii,Perciformes,Zoarcidae,Zoarces,viviparous,m,w,a,"Stavanger, Norway",58.95,5.7,1,28,rest_MR,MR,rest,3,12,0.45,0.06,7,0.35,-1.04,1.14,0.18,7,0.42,-0.87,0.6,0.18,7,0.79,-0.23,0.9,0.12,7,0.35,-1.04,CV,ac,0.187862589,0.464249209,NA,NA
746,Ptyodactylus_hasselquistii,p195_o,NA,NA,Chordata,Reptilia,Squamata,Gekkonidae,Ptyodactylus,hasselquistii,f,w,a,"Jeddah, Saudi Arabia",21.55,39.15,2,NA,rest_MR,MR,rest,25,35,4.2,1.34,24,1.56,0.45,9.64,3.08,22,1.5,0.4,6.96,2.28,28,1.73,0.55,16.61,5.36,28,1.71,0.53,CV,ac,-0.042082289,0.294970267,NA,NA
747,Acanthodactylus_boskianus,p196_o,NA,NA,Chordata,Reptilia,Squamata,Lacertidae,Acanthodactylus,boskianus,t,w,a,"Jeddah, Saudi Arabia",21.543333,39.172778,2,NA,rest_MR,MR,rest,20,30,0.13,0.02,15,0.5,-0.69,0.2,0.02,15,0.42,-0.87,0.07,0.01,22,0.63,-0.47,0.16,0.02,22,0.5,-0.69,CV,ac,-0.430782916,0.176525782,ml g-1 h-1,NA
749,Euchemotrema_leai,p198_o,NA,NA,Mollusca,Gastropoda,Pulmonata,Polygyridae,Euchemotrema,leai,t,w,a,"Muscotah, Kansas",39.55333,-95.520833,1,21,rest_MR,MR,rest,5,15,0.95,0.03,7,0.08,-2.51,2.17,0.05,7,0.06,-2.84,0.78,0.05,7,0.18,-1.74,1.56,0.07,7,0.12,-2.09,CV,ac,-0.315194838,0.334861473,ml/min/g,"it was p009_o; now given new IDs, old name: Stenotrema leai"
750,Euchemotrema_leai,p198_o,NA,NA,Mollusca,Gastropoda,Pulmonata,Polygyridae,Euchemotrema,leai,t,w,a,"Muscotah, Kansas",39.55333,-95.520833,1,21,rest_MR,MR,rest,5,25,0.95,0.03,7,0.08,-2.51,3.38,0.34,7,0.27,-1.32,0.61,0.02,7,0.07,-2.67,2.45,0.07,7,0.08,-2.57,CV,ac,0.579289616,0.086112314,ml/min/g,"it was p009_o; now given new IDs, old name: Stenotrema leai"
751,Euchemotrema_leai,p198_o,NA,NA,Mollusca,Gastropoda,Pulmonata,Polygyridae,Euchemotrema,leai,t,w,a,"Muscotah, Kansas",39.55333,-95.520833,1,21,rest_MR,MR,rest,15,25,1.56,0.07,7,0.12,-2.09,2.4,0.16,7,0.18,-1.74,0.78,0.01,7,0.02,-4.04,2.45,0.07,7,0.08,-2.57,CV,ac,0.395895657,0.339791256,ml/min/g,"it was p009_o; now given new IDs, old name: Stenotrema leai"
752,Osmerus_mordax,p2,fig,48,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,mordax,f,c,j,"Canaan, ME, USA",44.765556,-69.556944,1,42,muscle,muscle power,red muscle,4,10,16.21,2.18,5,0.3,-1.2,28.55,3.15,9,0.33,-1.11,9.43,0.73,5,0.17,-1.75,22.5,7.02,9,0.94,-0.07,CV,ac,0.159903847,1.125720834,W kg-1,NA
753,Osmerus_mordax,p2,fig,48,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,mordax,f,c,j,"Canaan, ME, USA",44.765556,-69.556944,1,42,muscle,muscle shortening velocity,red muscle,4,10,7.56,0.39,5,0.12,-2.16,10.36,0.39,9,0.11,-2.18,4.52,0.31,5,0.15,-1.87,8.1,0.47,9,0.17,-1.75,CV,ac,-0.035312857,1.052995499,muscle length s-1,NA
755,Cherax_quadricarinatus,p22,fig,140,Crustacea,Malacostraca,Decapoda,Parastacidae,Cherax,quadricarinatus,f,c,j,"Tucuman, Argentina",-26.8083,-65.2176,1,112,rest_MR,metabolic rate,NA,20,25,4.18,0.25,12,0.21,-1.57,5.84,0.35,12,0.21,-1.57,3.24,0.2,12,0.21,-1.55,3.72,0.16,12,0.15,-1.89,CV,ac,0.004105373,0.75594815,micro g/min.g,animals from farm; nztive to Australia
756,Pringleophaga_marioni,p23,table,14,Arthropoda,Insecta,Lepidoptera,Tineidae,Pringleophaga,marioni,t,w,j,Marion Island,-46.9,37.75,1,7,rest_MR,metabolic rate,NA,5,10,38.49,5.75,18,0.63,-0.46,61.72,7.4,18,0.51,-0.68,34.54,4.55,18,0.56,-0.58,66.52,8.26,18,0.53,-0.64,CV,ac,-0.43985883,0.617357565,microW,caterpilars
757,Fundulus_heteroclitus,p24,fig,1463,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Ogden's Pond Estuary, Nova Scotia, Canada",46.1833,-62,1,28,mito_oxidation,S3 mito respiration,"heart, northern pop",5,15,2.09,0.41,7,0.52,-0.66,4.59,0.26,7,0.15,-1.92,3.11,0.31,7,0.26,-1.35,5.87,0.56,7,0.25,-1.37,CV,ac,-1.242191487,0.375025527,pmol O2/mg tissue.s,NA
758,Fundulus_heteroclitus,p24,fig,1463,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Jekyl Is, Georgia, USA",31.0333,-81.4167,1,28,mito_oxidation,S3 mito respiration,"heart, southern pop",15,33,6.84,0.82,7,0.32,-1.15,11.48,0.56,7,0.13,-2.05,4.64,0.46,7,0.26,-1.34,6.84,1.63,7,0.63,-0.46,CV,ac,-0.499547898,0.108050868,pmol O2/mg tissue.s,NA
759,Fundulus_heteroclitus,p24,fig,1467,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Ogden's Pond Estuary, Nova Scotia, Canada",46.1833,-62,1,28,mito_oxidation,S3 mito respiration,"brain, northern pop",5,15,0.85,0.21,7,0.66,-0.41,2.03,0.21,7,0.28,-1.28,1.23,0.16,7,0.35,-1.06,2.69,0.27,7,0.26,-1.34,CV,ac,-0.870554723,0.405072941,pmol O2/mg tissue.s,NA
760,Fundulus_heteroclitus,p24,fig,1467,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Jekyl Is, Georgia, USA",31.0333,-81.4167,1,28,mito_oxidation,S3 mito respiration,"brain, southern pop",15,33,2.88,0.19,7,0.17,-1.76,6.37,0.43,7,0.18,-1.73,1.57,0.43,7,0.72,-0.33,4.08,0.37,7,0.24,-1.42,CV,ac,0.012751089,0.105630385,pmol O2/mg tissue.s,NA
761,Fundulus_heteroclitus,p24,fig,1463,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Ogden's Pond Estuary, Nova Scotia, Canada",46.1833,-62,1,28,mito_leak,S4 mito respiration,"heart, northern pop",5,15,0.35,0.14,7,1.02,0.02,0.98,0.16,7,0.44,-0.82,0.24,0.16,7,1.76,0.57,0.87,0.19,7,0.58,-0.55,CV,ac,-0.896088025,0.519988894,pmol O2/mg tissue.s,NA
762,Fundulus_heteroclitus,p24,fig,1463,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Jekyl Is, Georgia, USA",31.0333,-81.4167,1,28,mito_leak,S4 mito respiration,"heart, southern pop",15,33,1.06,0.24,7,0.61,-0.49,5.42,0.43,7,0.21,-1.55,0.54,0.24,7,1.19,0.17,3.36,0.54,7,0.43,-0.85,CV,ac,-0.582600346,0.120645462,pmol O2/mg tissue.s,NA
763,Fundulus_heteroclitus,p24,fig,1467,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Ogden's Pond Estuary, Nova Scotia, Canada",46.1833,-62,1,28,mito_leak,S4 mito respiration,"brain, northern pop",5,15,0.2,0.1,7,1.23,0.21,0.44,0.1,7,0.58,-0.55,0.18,0.12,7,1.83,0.61,0.64,0.07,7,0.28,-1.27,CV,ac,-0.78845736,0.634986226,pmol O2/mg tissue.s,NA
764,Fundulus_heteroclitus,p24,fig,1467,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Jekyl Is, Georgia, USA",31.0333,-81.4167,1,28,mito_leak,S4 mito respiration,"brain, southern pop",15,33,0.61,0.11,7,0.48,-0.74,2.95,0.15,7,0.13,-2.01,0.51,0.08,7,0.43,-0.84,1.75,0.17,7,0.26,-1.36,CV,ac,-0.703303647,0.113715104,pmol O2/mg tissue.s,NA
765,Fundulus_heteroclitus,p25,fig,1623,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Ogden's Pond Estuary, Nova Scotia, Canada",46.1833,-62,1,28,mito_oxidation,S3 mito respiration,liver,5,15,5.5,1.65,8,0.85,-0.16,35.46,3.3,8,0.26,-1.34,4.4,1.37,8,0.88,-0.12,24.74,1.37,8,0.16,-1.85,CV,ac,-1.170510028,0.384374934,nmol O2/min.mg protein,NA
766,Fundulus_heteroclitus,p25,fig,1623,Chordata,Actinopterygii,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,m,w,a,"Ogden's Pond Estuary, Nova Scotia, Canada",46.1833,-62,1,28,mito_leak,S4 mito respiration,liver,5,15,1.31,0.55,8,1.19,0.17,4.49,0.76,8,0.48,-0.74,1.31,0.55,8,1.19,0.17,2.97,0.83,8,0.79,-0.24,CV,ac,-0.90842541,0.490636716,nmol O2/min.mg protein,NA
768,Hyperolius_marmoratus,p30,table,17,Chordata,Amphibia,Anura,Hyperolyiidae,Hyperolius,marmoratus,t,w,a,"Western Cape Province, SA",-33.992,18.82,1,14,max_MR,active metabolic rate,NA,15,25,0.57,0.1,10,0.55,-0.59,1.01,0.15,10,0.47,-0.76,0.39,0.04,10,0.33,-1.1,0.85,0.14,10,0.52,-0.65,CV,ac,-0.166604141,0.275057585,ml CO2/g.h,NA
769,Hyperolius_marmoratus,p30,table,17,Chordata,Amphibia,Anura,Hyperolyiidae,Hyperolius,marmoratus,t,w,a,"Western Cape Province, SA",-33.992,18.82,1,14,rest_MR,resting metabolic rate,NA,15,25,0.05,0.01,9,0.58,-0.55,0.11,0.02,9,0.6,-0.51,0.06,0.02,9,0.87,-0.14,0.11,0.02,9,0.46,-0.77,CV,ac,-0.09531018,0.323057851,ml CO2/g.h,NA
770,Boreogadus_saida,p35,fig,3120,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,m,w,a,"Cambridge Bay, Nanavut, Canada",69.2,-105.0833,1,180,cardiac,maximal heart rate,NA,0.5,6.5,26.22,0.92,10,0.11,-2.2,43.14,2.12,10,0.16,-1.86,20.97,1.2,10,0.18,-1.71,35.32,1.29,10,0.12,-2.16,CV,ac,0.561449225,0.627412052,bpm,NA
771,Boreogadus_saida,p35,fig,3117,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,m,w,a,"Cambridge Bay, Nanavut, Canada",69.2,-105.0833,1,30,max_MR,maximal metabolic rate,NA,1,6.5,164.23,2.6,8,0.04,-3.1,172.69,3.47,8,0.06,-2.87,151.43,3.91,8,0.07,-2.62,213.06,6.29,8,0.08,-2.48,CV,ac,0.433478098,0.946673329,mgO2/kg.h,NA
772,Boreogadus_saida,p35,fig,3117,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus,saida,m,w,a,"Cambridge Bay, Nanavut, Canada",69.2,-105.0833,1,30,rest_MR,resting metabolic rate,NA,1,6.5,54.44,2.78,8,0.14,-1.94,84.03,2.22,8,0.07,-2.59,38.19,2.64,8,0.2,-1.63,72.36,4.72,8,0.18,-1.69,CV,ac,-1.198215331,0.955437788,mgO2/kg.h,NA
791,Myoxocephalus_scorpius,p40,table1,576,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,Qeqertarsuaq,69.250684,-53.538785,1,7,cardiac,Heart rate,NA,1,6,28.1,1.1,6,0.1,-2.34,40,1.6,6,0.1,-2.32,37.1,2,6,0.13,-2.02,41,3.1,6,0.19,-1.69,CV,ac,0.043167143,1.612529608,beats/min,1C acclimation was 10 days but 6 C acclimation was 5 days; just took average
792,Myoxocephalus_scorpius,p40,table1,576,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,scorpius,m,w,a,Qeqertarsuaq,69.250684,-53.538785,1,7,cardiac,Stroke volume,NA,1,6,1.92,0.15,6,0.19,-1.65,1.4,0.09,6,0.16,-1.85,1.32,0.13,6,0.24,-1.42,2.12,0.14,6,0.16,-1.82,CV,ac,-0.389945349,1.640944675,L/kg,NA
793,Saccostrea_glomerata,p41,figS5,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Saccostrea,glomerata,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,COX Activity,abductor muscle,22,27,1.55,0.2,9,0.38,-0.97,1.84,0.24,9,0.39,-0.95,1.92,0.26,9,0.41,-0.89,2.33,0.3,9,0.39,-0.93,CV,ac,0.021621832,1.134650225,umol/g/min,Only used non-toxic treatment
794,Crassostrea_gigas,p41,figS3,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,COX Activity,abductor muscle,22,27,1.17,0.09,9,0.22,-1.51,1.38,0.1,9,0.22,-1.51,1.37,0.11,9,0.25,-1.4,1.41,0.16,9,0.35,-1.06,CV,ac,-0.119438469,1.04467263,umol/g/min,Only used non-toxic treatment
795,Saccostrea_glomerata,p41,figS4,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Saccostrea,glomerata,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,COX Activity,digestive,22,27,13.86,1.81,9,0.39,-0.94,14.35,1.91,9,0.4,-0.92,10.44,1.11,9,0.32,-1.14,10.81,1.21,9,0.33,-1.09,CV,ac,0.038066897,1.139080249,umol/g/min,Only used non-toxic treatment
796,Crassostrea_gigas,p41,figS2,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,COX Activity,digestive,22,27,18.81,2.41,9,0.38,-0.96,16.01,2.3,9,0.43,-0.84,24.18,3.3,9,0.41,-0.89,20.24,2.89,9,0.43,-0.85,CV,ac,0.228914984,1.148215386,umol/g/min,Only used non-toxic treatment
797,Saccostrea_glomerata,p41,figS5,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Saccostrea,glomerata,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,CS Activity,abductor muscle,22,27,3.11,0.22,9,0.22,-1.54,4.24,0.29,9,0.21,-1.58,3.46,0.17,9,0.15,-1.9,4.34,0.29,9,0.2,-1.62,CV,ac,-0.067374333,1.038728511,umol/g/min,Only used non-toxic treatment
798,Crassostrea_gigas,p41,figS3,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,CS Activity,abductor muscle,22,27,3.79,0.19,9,0.15,-1.9,4.35,0.38,9,0.26,-1.35,3.38,0.23,9,0.21,-1.57,3.84,0.33,9,0.26,-1.35,CV,ac,1.110674709,1.040577348,umol/g/min,Only used non-toxic treatment
799,Saccostrea_glomerata,p41,figS4,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Saccostrea,glomerata,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,CS Activity,digestive,22,27,15.92,0.51,9,0.1,-2.33,19.13,1.01,9,0.16,-1.85,14.33,1.01,9,0.21,-1.55,17.5,1.05,9,0.18,-1.71,CV,ac,0.999226562,1.015254957,umol/g/min,Only used non-toxic treatment
800,Crassostrea_gigas,p41,figS2,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,CS Activity,digestive,22,27,20.96,1.62,9,0.23,-1.46,25.89,1.18,9,0.14,-1.99,22.11,1.19,9,0.16,-1.82,27.33,2.31,9,0.25,-1.37,CV,ac,-1.05630529,1.032204237,umol/g/min,Only used non-toxic treatment
801,Saccostrea_glomerata,p41,figS5,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Saccostrea,glomerata,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,LDH Activity,abductor muscle,22,27,3.95,0.4,9,0.3,-1.19,4.94,0.42,9,0.26,-1.36,5.38,0.6,9,0.33,-1.1,6.48,0.64,9,0.3,-1.22,CV,ac,-0.349719176,1.069932834,umol/g/min,Only used non-toxic treatment
802,Crassostrea_gigas,p41,figS3,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,LDH Activity,abductor muscle,22,27,16.87,1.39,9,0.25,-1.4,18.36,1.31,9,0.21,-1.54,15.61,2.2,9,0.42,-0.86,18.14,2.51,9,0.42,-0.88,CV,ac,-0.287828197,1.047519327,umol/g/min,Only used non-toxic treatment
803,Saccostrea_glomerata,p41,figS4,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Saccostrea,glomerata,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,LDH Activity,digestive,22,27,0.73,0.07,9,0.29,-1.25,0.71,0.07,9,0.3,-1.22,0.71,0.08,9,0.36,-1.03,0.65,0.08,9,0.38,-0.98,CV,ac,0.055559128,1.075661058,umol/g/min,Only used non-toxic treatment
804,Crassostrea_gigas,p41,figS2,supplement,Mollusca,Bivalvia,Ostreoida,Ostreidae,Crassostrea,gigas,m,w,a,"Port Stephens Fisheries Insitute, Port Stephens, NSW",-32.738266,152.065412,1,14,metabolic_enzyme,LDH Activity,digestive,22,27,0.61,0.05,9,0.25,-1.4,0.61,0.05,9,0.23,-1.48,0.84,0.08,9,0.29,-1.24,0.68,0.09,9,0.41,-0.9,CV,ac,0,1.053748992,umol/g/min,Only used non-toxic treatment
807,Carassius_auratus,p42,fig4,605,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,f,c,a,"Delta Aquatic Nurseries, Richmond, British Columbia",49.154938,-123.092218,1,21,cardiac,Heart Rate,NA,20,28,82.48,27.65,5,0.75,-0.29,129.54,17.67,7,0.36,-1.02,85.9,8.73,15,0.39,-0.93,163.03,15.47,15,0.37,-1,CV,ac,-0.913693997,0.855709708,beats/min,NA
808,Carassius_auratus,p42,fig2,602,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,f,c,a,"Delta Aquatic Nurseries, Richmond, British Columbia",49.154938,-123.092218,1,21,max_MR,Max MO2,NA,20,28,10.4,1.66,4,0.32,-1.14,10.97,1.89,5,0.38,-0.96,3.93,1.4,4,0.71,-0.34,10.78,2.01,4,0.37,-0.99,CV,ac,0.234965668,0.997646218,umol/hr/g,NA
809,Carassius_auratus,p42,fig2,602,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,auratus,f,c,a,"Delta Aquatic Nurseries, Richmond, British Columbia",49.154938,-123.092218,1,21,rest_MR,Min MO2,NA,20,28,5.56,1.04,5,0.42,-0.88,8.12,1.42,4,0.35,-1.05,2.31,0.85,5,0.82,-0.2,3.98,0.88,4,0.44,-0.82,CV,ac,-0.223584579,1.013911066,umol/hr/g,NA
812,Lithobates_clamitans,p47,fig2,289,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,f,w,j,"Lake Cheston, Sewanee, Tennessee",35.210507,-85.930942,1,4,sprint,Burst swim speed,NA,8,26,0.46,0.02,10,0.15,-1.9,0.48,0.03,10,0.21,-1.55,0.33,0.03,10,0.28,-1.27,0.52,0.04,10,0.24,-1.43,CV,ac,0.201614163,0.070376183,m/s,"Note, only 4 days acclimation, but taken from wild, so probably longer"
813,Lithobates_clamitans,p47,fig3,290,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,f,w,j,"Lake Cheston, Sewanee, Tennessee",35.210507,-85.930942,1,4,metabolic_enzyme,CCO activity,NA,8,26,3.81,0.35,9,0.28,-1.28,7.2,0.9,9,0.37,-0.98,0.9,0.06,9,0.21,-1.54,2.31,0.15,9,0.19,-1.66,CV,ac,0.17111654,0.084587625,units/gr wet wt,"Note, only 4 days acclimation, but taken from wild, so probably longer"
814,Lithobates_clamitans,p47,fig3,290,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,f,w,j,"Lake Cheston, Sewanee, Tennessee",35.210507,-85.930942,1,4,metabolic_enzyme,CS activity,NA,8,26,2.36,0.12,9,0.15,-1.9,5.55,0.2,9,0.11,-2.24,1.44,0.1,9,0.2,-1.61,3.33,0.17,9,0.15,-1.9,CV,ac,-0.191283714,0.078359278,units/gr wet wt,"Note, only 4 days acclimation, but taken from wild, so probably longer"
815,Lithobates_clamitans,p47,fig3,290,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,f,w,j,"Lake Cheston, Sewanee, Tennessee",35.210507,-85.930942,1,4,metabolic_enzyme,LDH activity,NA,8,26,57.46,6,6,0.26,-1.36,212.96,19,6,0.22,-1.52,38.95,4.69,10,0.38,-0.97,113.82,10.46,10,0.29,-1.24,CV,ac,-0.087408773,0.129278888,units/gr wet wt,"Note, only 4 days acclimation, but taken from wild, so probably longer"
816,Lithobates_clamitans,p47,fig1,289,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,f,w,j,"Lake Cheston, Sewanee, Tennessee",35.210507,-85.930942,1,4,rest_MR,Oxygen consumption,NA,8,26,0.06,0.01,8,0.44,-0.82,0.15,0.01,9,0.15,-1.88,0.053,0.007,7,0.34,-1.09,0.15,0.01,10,0.3,-1.21,CV,ac,-0.476332897,0.092617088,mL O2/g/hr,"Note, only 4 days acclimation, but taken from wild, so probably longer"
820,Pringleophaga_marioni,p54,fig4,114,Arthropoda,Insecta,Lepidoptera,Tineidae,Pringleophaga,marioni,t,w,a,Marion and Prince Edward islands,-46.889091,37.75276,1,7,sprint,locomoter speed,NA,5,15,2,0.09,28,0.23,-1.47,4.05,0.2,28,0.26,-1.34,1.75,0.16,28,0.49,-0.71,3.96,0.28,28,0.38,-0.98,CV,ac,0.092937996,0.078537727,mm/sec,NA
825,Chanos_chanos,p66,fig3,70,Chordata,Actinopterygii,Gonorynchiformes,Chanidae,Chanos,chanos,m,c,j,Changhua County,24.199993,120.690919,2,7,other,NKA Activity,Freshwater,18,28,0.31,0.04,8,0.33,-1.1,1,0.12,8,0.33,-1.11,NA,NA,NA,NA,NA,2.99,0.23,8,0.21,-1.55,CV,ac,-0.072570693,0.316763609,umol Pi/mg protein/hr,NA
